Latitude;Longitude;Elevation;Time;Name;
34.0335163;-118.2710863;;;;
34.0335190;-118.2710855;;;;
34.0335208;-118.2710849;;;;
34.0335211;-118.2710869;;;;
34.0335250;-118.2710813;;;;
34.0335326;-118.2710714;;;;
34.0335374;-118.2710647;;;;
34.0335388;-118.2710632;;;;
34.0335397;-118.2710616;;;;
34.0335411;-118.2710599;;;;
34.0335425;-118.2710581;;;;
34.0335440;-118.2710559;;;;
34.0335444;-118.2710550;;;;
34.0335475;-118.2710510;;;;
34.0335544;-118.2710393;;;;
34.0335898;-118.2709987;;;;
34.0336169;-118.2709833;;;;
34.0336480;-118.2709815;;;;
34.0336914;-118.2709879;;;;
34.0337375;-118.2710089;;;;
34.0338380;-118.2710733;;;;
34.0338849;-118.2711174;;;;
34.0339355;-118.2711694;;;;
34.0339923;-118.2712220;;;;
34.0340564;-118.2712763;;;;
34.0341891;-118.2713861;;;;
34.0342579;-118.2714452;;;;
34.0344011;-118.2715686;;;;
34.0344758;-118.2716326;;;;
34.0347032;-118.2718252;;;;
34.0349252;-118.2720141;;;;
34.0350003;-118.2720781;;;;
34.0350746;-118.2721426;;;;
34.0351474;-118.2722044;;;;
34.0352171;-118.2722650;;;;
34.0354136;-118.2724321;;;;
34.0354745;-118.2724840;;;;
34.0355328;-118.2725344;;;;
34.0356488;-118.2726350;;;;
34.0357095;-118.2726850;;;;
34.0358366;-118.2727927;;;;
34.0359041;-118.2728502;;;;
34.0359724;-118.2729104;;;;
34.0361134;-118.2730327;;;;
34.0362585;-118.2731573;;;;
34.0363314;-118.2732198;;;;
34.0364046;-118.2732834;;;;
34.0364788;-118.2733483;;;;
34.0365533;-118.2734152;;;;
34.0366291;-118.2734823;;;;
34.0368591;-118.2736846;;;;
34.0370095;-118.2738170;;;;
34.0371621;-118.2739496;;;;
34.0373179;-118.2740828;;;;
34.0373964;-118.2741481;;;;
34.0375521;-118.2742811;;;;
34.0376299;-118.2743482;;;;
34.0377075;-118.2744149;;;;
34.0377850;-118.2744813;;;;
34.0379396;-118.2746162;;;;
34.0381719;-118.2748162;;;;
34.0382498;-118.2748817;;;;
34.0383278;-118.2749470;;;;
34.0384054;-118.2750141;;;;
34.0384826;-118.2750812;;;;
34.0386369;-118.2752152;;;;
34.0387144;-118.2752818;;;;
34.0389479;-118.2754804;;;;
34.0392613;-118.2757439;;;;
34.0393406;-118.2758086;;;;
34.0394197;-118.2758728;;;;
34.0394991;-118.2759354;;;;
34.0396564;-118.2760610;;;;
34.0398120;-118.2761914;;;;
34.0399665;-118.2763225;;;;
34.0401129;-118.2764464;;;;
34.0401781;-118.2765033;;;;
34.0402344;-118.2765544;;;;
34.0402817;-118.2765979;;;;
34.0403231;-118.2766298;;;;
34.0403601;-118.2766483;;;;
34.0403982;-118.2766468;;;;
34.0404981;-118.2765438;;;;
34.0405903;-118.2764651;;;;
34.0407067;-118.2764079;;;;
34.0407695;-118.2763887;;;;
34.0408797;-118.2763743;;;;
34.0409253;-118.2763729;;;;
34.0409781;-118.2763709;;;;
34.0409865;-118.2763692;;;;
34.0409912;-118.2763678;;;;
34.0410004;-118.2763656;;;;
34.0410462;-118.2763554;;;;
34.0411186;-118.2763361;;;;
34.0412012;-118.2762908;;;;
34.0412440;-118.2762562;;;;
34.0412858;-118.2762156;;;;
34.0413255;-118.2761669;;;;
34.0413909;-118.2760453;;;;
34.0414267;-118.2758931;;;;
34.0414321;-118.2758085;;;;
34.0414331;-118.2757220;;;;
34.0414195;-118.2754535;;;;
34.0414080;-118.2752704;;;;
34.0414029;-118.2751767;;;;
34.0414028;-118.2750841;;;;
34.0414084;-118.2749916;;;;
34.0414966;-118.2746333;;;;
34.0415364;-118.2745512;;;;
34.0415832;-118.2744754;;;;
34.0416335;-118.2744016;;;;
34.0416833;-118.2743293;;;;
34.0417286;-118.2742618;;;;
34.0418233;-118.2741264;;;;
34.0418692;-118.2740550;;;;
34.0419159;-118.2739871;;;;
34.0420218;-118.2738335;;;;
34.0420658;-118.2737469;;;;
34.0421016;-118.2736572;;;;
34.0421298;-118.2735637;;;;
34.0421476;-118.2734693;;;;
34.0421561;-118.2733811;;;;
34.0421599;-118.2732989;;;;
34.0421625;-118.2732271;;;;
34.0421624;-118.2731673;;;;
34.0421609;-118.2731202;;;;
34.0421516;-118.2730814;;;;
34.0421326;-118.2730539;;;;
34.0421026;-118.2730390;;;;
34.0420686;-118.2730328;;;;
34.0420306;-118.2730280;;;;
34.0419872;-118.2730235;;;;
34.0419421;-118.2730187;;;;
34.0418966;-118.2730130;;;;
34.0418513;-118.2730092;;;;
34.0418067;-118.2730053;;;;
34.0417138;-118.2729970;;;;
34.0416643;-118.2729918;;;;
34.0416144;-118.2729879;;;;
34.0415664;-118.2729832;;;;
34.0415227;-118.2729812;;;;
34.0414815;-118.2729812;;;;
34.0414454;-118.2729816;;;;
34.0414145;-118.2729859;;;;
34.0413756;-118.2730213;;;;
34.0413680;-118.2730496;;;;
34.0413666;-118.2730815;;;;
34.0413666;-118.2731122;;;;
34.0413684;-118.2731432;;;;
34.0413742;-118.2731715;;;;
34.0413856;-118.2731969;;;;
34.0413985;-118.2732197;;;;
34.0414076;-118.2732382;;;;
34.0414143;-118.2732525;;;;
34.0414247;-118.2732749;;;;
34.0414277;-118.2732839;;;;
34.0414273;-118.2732912;;;;
